persona,camara,emocion,archivo,num_frames,alto,ancho,canales,timestamp
p034,camaraInfrarroja,Neutral,p034\camaraInfrarroja\Neutral.npy,8,64,64,3,2026-04-22 21:10:53
p034,camaraWeb,Asco,p034\camaraWeb\Asco.npy,12,64,64,3,2026-04-22 21:10:55
p034,camaraWeb,Felicidad,p034\camaraWeb\Felicidad.npy,12,64,64,3,2026-04-22 21:10:56
p034,camaraWeb,Miedo,p034\camaraWeb\Miedo.npy,12,64,64,3,2026-04-22 21:10:57
p034,camaraWeb,Neutral,p034\camaraWeb\Neutral.npy,12,64,64,3,2026-04-22 21:10:58
p034,camaraWeb,Sorpresa,p034\camaraWeb\Sorpresa.npy,12,64,64,3,2026-04-22 21:10:59
p035,camaraInfrarroja,Asco,p035\camaraInfrarroja\Asco.npy,12,64,64,3,2026-04-22 21:11:01
p035,camaraInfrarroja,Enojo,p035\camaraInfrarroja\Enojo.npy,12,64,64,3,2026-04-22 21:11:02
p035,camaraInfrarroja,Felicidad,p035\camaraInfrarroja\Felicidad.npy,12,64,64,3,2026-04-22 21:11:04
p035,camaraInfrarroja,Miedo,p035\camaraInfrarroja\Miedo.npy,12,64,64,3,2026-04-22 21:11:05
p035,camaraInfrarroja,Neutral,p035\camaraInfrarroja\Neutral.npy,12,64,64,3,2026-04-22 21:11:07
p035,camaraInfrarroja,Sorpresa,p035\camaraInfrarroja\Sorpresa.npy,12,64,64,3,2026-04-22 21:11:09
p035,camaraInfrarroja,Tristeza,p035\camaraInfrarroja\Tristeza.npy,12,64,64,3,2026-04-22 21:11:10
p035,camaraWeb,Asco,p035\camaraWeb\Asco.npy,12,64,64,3,2026-04-22 21:11:11
p035,camaraWeb,Enojo,p035\camaraWeb\Enojo.npy,12,64,64,3,2026-04-22 21:11:12
p035,camaraWeb,Felicidad,p035\camaraWeb\Felicidad.npy,12,64,64,3,2026-04-22 21:11:13
p035,camaraWeb,Miedo,p035\camaraWeb\Miedo.npy,12,64,64,3,2026-04-22 21:11:14
p035,camaraWeb,Neutral,p035\camaraWeb\Neutral.npy,12,64,64,3,2026-04-22 21:11:15
p035,camaraWeb,Sorpresa,p035\camaraWeb\Sorpresa.npy,12,64,64,3,2026-04-22 21:11:16
p035,camaraWeb,Tristeza,p035\camaraWeb\Tristeza.npy,12,64,64,3,2026-04-22 21:11:17
p036,camaraInfrarroja,Felicidad,p036\camaraInfrarroja\Felicidad.npy,1,64,64,3,2026-04-22 21:11:18
p036,camaraInfrarroja,Neutral,p036\camaraInfrarroja\Neutral.npy,8,64,64,3,2026-04-22 21:11:21
p036,camaraWeb,Felicidad,p036\camaraWeb\Felicidad.npy,12,64,64,3,2026-04-22 21:11:25
p036,camaraWeb,Miedo,p036\camaraWeb\Miedo.npy,12,64,64,3,2026-04-22 21:11:25
p036,camaraWeb,Neutral,p036\camaraWeb\Neutral.npy,12,64,64,3,2026-04-22 21:11:26
p036,camaraWeb,Sorpresa,p036\camaraWeb\Sorpresa.npy,12,64,64,3,2026-04-22 21:11:27
p036,camaraWeb,Tristeza,p036\camaraWeb\Tristeza.npy,12,64,64,3,2026-04-22 21:11:28
p037,camaraWeb,Asco,p037\camaraWeb\Asco.npy,12,64,64,3,2026-04-22 21:11:34
p037,camaraWeb,Felicidad,p037\camaraWeb\Felicidad.npy,12,64,64,3,2026-04-22 21:11:35
p037,camaraWeb,Neutral,p037\camaraWeb\Neutral.npy,12,64,64,3,2026-04-22 21:11:35
p037,camaraWeb,Sorpresa,p037\camaraWeb\Sorpresa.npy,12,64,64,3,2026-04-22 21:11:36
p038,camaraInfrarroja,Asco,p038\camaraInfrarroja\Asco.npy,12,64,64,3,2026-04-22 21:11:38
p038,camaraInfrarroja,Enojo,p038\camaraInfrarroja\Enojo.npy,12,64,64,3,2026-04-22 21:11:39
p038,camaraInfrarroja,Felicidad,p038\camaraInfrarroja\Felicidad.npy,12,64,64,3,2026-04-22 21:11:41
p038,camaraInfrarroja,Miedo,p038\camaraInfrarroja\Miedo.npy,12,64,64,3,2026-04-22 21:11:42
p038,camaraInfrarroja,Neutral,p038\camaraInfrarroja\Neutral.npy,12,64,64,3,2026-04-22 21:11:44
p038,camaraInfrarroja,Sorpresa,p038\camaraInfrarroja\Sorpresa.npy,12,64,64,3,2026-04-22 21:11:46
p038,camaraInfrarroja,Tristeza,p038\camaraInfrarroja\Tristeza.npy,12,64,64,3,2026-04-22 21:11:47
p038,camaraWeb,Asco,p038\camaraWeb\Asco.npy,12,64,64,3,2026-04-22 21:11:48
p038,camaraWeb,Enojo,p038\camaraWeb\Enojo.npy,12,64,64,3,2026-04-22 21:11:49
p038,camaraWeb,Felicidad,p038\camaraWeb\Felicidad.npy,12,64,64,3,2026-04-22 21:11:50
p038,camaraWeb,Miedo,p038\camaraWeb\Miedo.npy,12,64,64,3,2026-04-22 21:11:51
p038,camaraWeb,Neutral,p038\camaraWeb\Neutral.npy,12,64,64,3,2026-04-22 21:11:52
p038,camaraWeb,Sorpresa,p038\camaraWeb\Sorpresa.npy,12,64,64,3,2026-04-22 21:11:52
p038,camaraWeb,Tristeza,p038\camaraWeb\Tristeza.npy,12,64,64,3,2026-04-22 21:11:53
p040,camaraInfrarroja,Enojo,p040\camaraInfrarroja\Enojo.npy,12,64,64,3,2026-04-22 21:11:55
p040,camaraInfrarroja,Neutral,p040\camaraInfrarroja\Neutral.npy,12,64,64,3,2026-04-22 21:11:57
p040,camaraInfrarroja,Sorpresa,p040\camaraInfrarroja\Sorpresa.npy,12,64,64,3,2026-04-22 21:11:58
p040,camaraInfrarroja,Tristeza,p040\camaraInfrarroja\Tristeza.npy,12,64,64,3,2026-04-22 21:12:00
p040,camaraWeb,Enojo,p040\camaraWeb\Enojo.npy,12,64,64,3,2026-04-22 21:12:00
p040,camaraWeb,Neutral,p040\camaraWeb\Neutral.npy,12,64,64,3,2026-04-22 21:12:01
p040,camaraWeb,Sorpresa,p040\camaraWeb\Sorpresa.npy,12,64,64,3,2026-04-22 21:12:02
p040,camaraWeb,Tristeza,p040\camaraWeb\Tristeza.npy,12,64,64,3,2026-04-22 21:12:03
p041,camaraInfrarroja,Miedo,p041\camaraInfrarroja\Miedo.npy,7,64,64,3,2026-04-22 21:12:05
p041,camaraInfrarroja,Neutral,p041\camaraInfrarroja\Neutral.npy,12,64,64,3,2026-04-22 21:12:06
p041,camaraInfrarroja,Sorpresa,p041\camaraInfrarroja\Sorpresa.npy,9,64,64,3,2026-04-22 21:12:08
p041,camaraInfrarroja,Tristeza,p041\camaraInfrarroja\Tristeza.npy,10,64,64,3,2026-04-22 21:12:09
p041,camaraWeb,Miedo,p041\camaraWeb\Miedo.npy,12,64,64,3,2026-04-22 21:12:10
p041,camaraWeb,Neutral,p041\camaraWeb\Neutral.npy,12,64,64,3,2026-04-22 21:12:11
p041,camaraWeb,Sorpresa,p041\camaraWeb\Sorpresa.npy,12,64,64,3,2026-04-22 21:12:12
p041,camaraWeb,Tristeza,p041\camaraWeb\Tristeza.npy,12,64,64,3,2026-04-22 21:12:13
p042,camaraInfrarroja,Asco,p042\camaraInfrarroja\Asco.npy,12,64,64,3,2026-04-22 21:12:14
p042,camaraInfrarroja,Enojo,p042\camaraInfrarroja\Enojo.npy,12,64,64,3,2026-04-22 21:12:16
p042,camaraInfrarroja,Felicidad,p042\camaraInfrarroja\Felicidad.npy,12,64,64,3,2026-04-22 21:12:18
p042,camaraInfrarroja,Neutral,p042\camaraInfrarroja\Neutral.npy,12,64,64,3,2026-04-22 21:12:19
p042,camaraInfrarroja,Sorpresa,p042\camaraInfrarroja\Sorpresa.npy,12,64,64,3,2026-04-22 21:12:21
p042,camaraInfrarroja,Tristeza,p042\camaraInfrarroja\Tristeza.npy,12,64,64,3,2026-04-22 21:12:22
p042,camaraWeb,Asco,p042\camaraWeb\Asco.npy,12,64,64,3,2026-04-22 21:12:23
p042,camaraWeb,Enojo,p042\camaraWeb\Enojo.npy,12,64,64,3,2026-04-22 21:12:24
p042,camaraWeb,Felicidad,p042\camaraWeb\Felicidad.npy,12,64,64,3,2026-04-22 21:12:25
p042,camaraWeb,Neutral,p042\camaraWeb\Neutral.npy,12,64,64,3,2026-04-22 21:12:26
p042,camaraWeb,Sorpresa,p042\camaraWeb\Sorpresa.npy,12,64,64,3,2026-04-22 21:12:26
p042,camaraWeb,Tristeza,p042\camaraWeb\Tristeza.npy,12,64,64,3,2026-04-22 21:12:27
