persona,camara,emocion,feature_path
p003,camaraInfrarroja,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p003_camaraInfrarroja_Asco_000006.npy
p003,camaraInfrarroja,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p003_camaraInfrarroja_Enojo_000007.npy
p003,camaraInfrarroja,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p003_camaraInfrarroja_Felicidad_000008.npy
p003,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p003_camaraInfrarroja_Neutral_000009.npy
p003,camaraInfrarroja,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p003_camaraInfrarroja_Sorpresa_000010.npy
p003,camaraInfrarroja,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p003_camaraInfrarroja_Tristeza_000011.npy
p003,camaraWeb,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p003_camaraWeb_Asco_000000.npy
p003,camaraWeb,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p003_camaraWeb_Enojo_000001.npy
p003,camaraWeb,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p003_camaraWeb_Felicidad_000002.npy
p003,camaraWeb,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p003_camaraWeb_Neutral_000003.npy
p003,camaraWeb,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p003_camaraWeb_Sorpresa_000004.npy
p003,camaraWeb,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p003_camaraWeb_Tristeza_000005.npy
p004,camaraInfrarroja,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p004_camaraInfrarroja_Asco_000018.npy
p004,camaraInfrarroja,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p004_camaraInfrarroja_Enojo_000019.npy
p004,camaraInfrarroja,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p004_camaraInfrarroja_Felicidad_000020.npy
p004,camaraInfrarroja,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p004_camaraInfrarroja_Miedo_000021.npy
p004,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p004_camaraInfrarroja_Neutral_000022.npy
p004,camaraInfrarroja,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p004_camaraInfrarroja_Sorpresa_000023.npy
p004,camaraInfrarroja,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p004_camaraInfrarroja_Tristeza_000024.npy
p004,camaraWeb,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p004_camaraWeb_Asco_000012.npy
p004,camaraWeb,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p004_camaraWeb_Enojo_000013.npy
p004,camaraWeb,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p004_camaraWeb_Felicidad_000014.npy
p004,camaraWeb,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p004_camaraWeb_Miedo_000015.npy
p004,camaraWeb,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p004_camaraWeb_Sorpresa_000016.npy
p004,camaraWeb,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p004_camaraWeb_Tristeza_000017.npy
p005,camaraInfrarroja,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p005_camaraInfrarroja_Asco_000031.npy
p005,camaraInfrarroja,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p005_camaraInfrarroja_Enojo_000032.npy
p005,camaraInfrarroja,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p005_camaraInfrarroja_Miedo_000033.npy
p005,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p005_camaraInfrarroja_Neutral_000034.npy
p005,camaraInfrarroja,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p005_camaraInfrarroja_Sorpresa_000035.npy
p005,camaraInfrarroja,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p005_camaraInfrarroja_Tristeza_000036.npy
p005,camaraWeb,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p005_camaraWeb_Asco_000025.npy
p005,camaraWeb,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p005_camaraWeb_Enojo_000026.npy
p005,camaraWeb,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p005_camaraWeb_Miedo_000027.npy
p005,camaraWeb,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p005_camaraWeb_Neutral_000028.npy
p005,camaraWeb,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p005_camaraWeb_Sorpresa_000029.npy
p005,camaraWeb,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p005_camaraWeb_Tristeza_000030.npy
p006,camaraInfrarroja,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p006_camaraInfrarroja_Asco_000043.npy
p006,camaraInfrarroja,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p006_camaraInfrarroja_Enojo_000044.npy
p006,camaraInfrarroja,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p006_camaraInfrarroja_Felicidad_000045.npy
p006,camaraInfrarroja,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p006_camaraInfrarroja_Miedo_000046.npy
p006,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p006_camaraInfrarroja_Neutral_000047.npy
p006,camaraInfrarroja,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p006_camaraInfrarroja_Tristeza_000048.npy
p006,camaraWeb,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p006_camaraWeb_Asco_000037.npy
p006,camaraWeb,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p006_camaraWeb_Enojo_000038.npy
p006,camaraWeb,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p006_camaraWeb_Felicidad_000039.npy
p006,camaraWeb,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p006_camaraWeb_Miedo_000040.npy
p006,camaraWeb,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p006_camaraWeb_Neutral_000041.npy
p006,camaraWeb,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p006_camaraWeb_Tristeza_000042.npy
p007,camaraInfrarroja,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p007_camaraInfrarroja_Asco_000056.npy
p007,camaraInfrarroja,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p007_camaraInfrarroja_Enojo_000057.npy
p007,camaraInfrarroja,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p007_camaraInfrarroja_Felicidad_000058.npy
p007,camaraInfrarroja,Miedo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p007_camaraInfrarroja_Miedo_000059.npy
p007,camaraInfrarroja,Neutral,C:\Users\cruzt\Downloads\features_tt2_escom\features\p007_camaraInfrarroja_Neutral_000060.npy
p007,camaraInfrarroja,Sorpresa,C:\Users\cruzt\Downloads\features_tt2_escom\features\p007_camaraInfrarroja_Sorpresa_000061.npy
p007,camaraInfrarroja,Tristeza,C:\Users\cruzt\Downloads\features_tt2_escom\features\p007_camaraInfrarroja_Tristeza_000062.npy
p007,camaraWeb,Asco,C:\Users\cruzt\Downloads\features_tt2_escom\features\p007_camaraWeb_Asco_000049.npy
p007,camaraWeb,Enojo,C:\Users\cruzt\Downloads\features_tt2_escom\features\p007_camaraWeb_Enojo_000050.npy
p007,camaraWeb,Felicidad,C:\Users\cruzt\Downloads\features_tt2_escom\features\p007_camaraWeb_Felicidad_000051.npy
